Table: Total Coal Consumption (Quadrillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,0.03476,0.03022,0.02814,0.02476,0.02005,0.02302,0.02746,0.03673,0.03698,0.03631,0.02387,0.02974,0.03238,0.02859,0.04565,0.03947,0.03841,0.03965,0.03952,0.02826,0.02942,0.02347,0.02862,0.02143,0.02596,0.02307,0.03128,0.04018,0.04046,0.04194,0.04336,0.04953,0.04383
Aruba,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",,0,0.00069,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,,0.21533,0.21184,0.22929,0.2531,0.31179,0.36635,0.37213,0.39388,0.39594,0.39061,0.34926,0.40548,0.36777,0.37418,0.36686,0.38087,0.40211,0.41518,0.40896,0.41887,0.44161,0.43551,0.42568,0.44693,0.46275,0.44256,0.43743,0.46508,0.47434,0.3667,0.4998,0.54167,0.51327
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,0.04851,0.04788,0.03267,0.04457,0.05206,0.05004,0.05206,0.05099,0.0717,0.09318,0.10065,0.07971,0.06918,0.07095,0.08368,0.09088,0.12398,0.17654,0.15687,0.17391,0.13079,0.10186,0.10314,0.10187,0.13104,0.13064,0.16298,0.16052,0.2208,0.19285,0.23506,0.27783,0.29478
Colombia,,0.10287,0.10676,0.11013,0.12175,0.11983,0.11935,0.12172,0.10095,0.13017,0.12108,0.07108,0.12884,0.14529,0.14932,0.12965,0.108,0.11263,0.13734,0.14029,0.10854,0.10708,0.09527,0.08978,0.10167,0.08063,0.11251,0.1028,0.08097,0.09668,0.12985,0.13406,0.14662,0.16713
Costa Rica,,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00006,0.00006,0,0,0,0,0.00001,0.00034,0.00001,0.00001,0.00001,0.00001,0.00002,0.00077,0.00198,0.00157,0.00143,0.00165,0.00335,0.00329,0.00285,0.00255,0.00265,0.00246
Cuba,,0.00448,0.0045,0.00436,0.00447,0.00472,0.00388,0.00486,0.00521,0.0051,0.00654,0.00617,0.00328,0.00191,0.00241,0.00307,0.00267,0.00108,0.00081,0.00091,0.00096,0.001,0.00068,0.00111,0.00063,0.00077,0.00107,0.00097,0.00106,0.00093,0.00072,0.00063,0.00064,0.00064
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,0,0,0,0.00019,0.00036,0.00606,0.00076,0.00628,0.00281,0.00029,0.00049,0.00561,0.00532,0.00625,0.00178,0.00222,0.0028,0.00271,0.00383,0.00599,0.00237,0.00519,0.00598,0.02709,0.01991,0.01218,0.02091,0.02152,0.02241,0.022,0.02103,0.02547,0.01506
Ecuador,,0,0,0,0,0,0,0,0,0,0,0,0.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0.00002,0,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,0.00061,0.00059,0.00011,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0.00552,0.00512,0.00999,0.00939,0.01091,0.01049,0.01098,0.01146,0.01157,0.00754,0.01259,0.01202,0.01707
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0.00107,0.00165,0.00175,0.00177,0.00052,0.00052,0.0009,0.00035,0.00035,0.00072,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,0,0.00003,0,0,0,0,0.00003,0.00003,0.00003,0.00003,0.00003,0.00001,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00143,0.00345,0.00315,0.0036,0.00432,0.00445,0.00469,0.00347,0.00339,0.00459,0.0045,0.00468,0.00614,0.00331
Jamaica,,0.00003,0.00003,0,0,0,0,0,0,0,0.0011,0.0015,0.00041,0.00185,0.00182,0.00153,0.00156,0.00231,0.00154,0.00149,0.00184,0.00136,0.00136,0.00225,0.00218,0.00238,0.0015,0.00082,0.00092,0.00122,0.00132,0.00138,0.00144,0.00315
Martinique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0.001,0.0019,0.00173,0.00266,0.00178,0.00164,0.00184,0.00185,0.00185,0.00185
Panama,,0.00005,0.00008,0.00008,0.00008,0.00024,0.00093,0.00021,0.00093,0.00069,0.00029,0.00085,0.00119,0.0013,0.0014,0.00143,0.00142,0.00269,0.00146,0.00146,0.00154,0.00154,0.00161,0.00115,0,0.00005,0.00913,0.0062,0.00605,0.00085,0.0017,0.00291,0.00215,0.00217
Paraguay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0.00001,0.00001,0.00001,0,0,0.00003,0.00003
Peru,,0.00595,0.00605,0.00648,0.00563,0.00515,0.00683,0.0065,0.00717,0.0085,0.00747,0.00572,0.01057,0.01006,0.01438,0.01326,0.01358,0.01432,0.01637,0.01793,0.01643,0.02551,0.02319,0.03159,0.03118,0.03189,0.0414,0.03179,0.04188,0.03754,0.02831,0.03531,0.03464,0.02208
Puerto Rico,,0,0,0,0.00452,0.00265,0.00265,0.00614,0.00775,0.00947,0.00788,0.00564,0.00508,0.00407,0.00517,0.00523,0.00533,0.00457,0.00443,0.00448,0.0041,0.0041,0.00397,0.01127,0.03536,0.03331,0.03408,0.03844,0.03844,0.03844,0.03844,0.03844,0.03844,0.03844
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,0.00003,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,0.00012,0.0001,0.00008,0.00005,0.00005,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00001,0.00001,0.00006,0.00012,0.00008,0.00003,0.00003,0.00003,0.00005,0.00002,0.00004,0.00006,0.00005,0.00006,0.00007,0.00008,0.0001,0.00006,0.00007,0.00011,0.00007,0.00006
Venezuela,,0.00818,0.007,0.00438,0.00567,0.00578,0.00793,0.00841,0.00646,0.0087,0.00911,0.00601,0.00002,0.00012,0.00103,0.00201,0.00019,0.00556,0.00143,0.04037,0.00153,0.00549,0.00205,0.00075,0.00179,0.00586,0.00153,0.00478,0.00578,0.00587,0.00987,0.00906,0.00608,0.00912
"Virgin Islands,  U.S.",,0,0,0,0,0,0,0,0,0,0,0.00211,0.00355,0.00592,0.00743,0.00792,0.00694,0.00672,0.00646,0.00651,0.00653,0.00659,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,,19.5846,19.54371,19.5668,19.7519,19.92705,20.92782,20.99127,21.14641,20.45485,20.65858,19.41466,18.08385,16.33327,15.89385,15.13707,14.5967,14.9446,14.82126,14.2893,13.66921,14.0964,13.95895,13.83898,14.29882,14.3447,14.0705,14.52843,14.89901,13.97249,12.49683,12.93893,13.46029,13.68994
Albania,,0.01721,0.01999,0.02163,0.02323,0.02553,0.02897,0.02798,0.02845,0.03045,0.0275,0.02532,0.01489,0.00414,0.00237,0.00161,0.00075,0.00105,0.00038,0.00048,0.00117,0.00072,0.00083,0.00088,0.00088,0.00088,0.00075,0.00075,0.00075,0.00096,0.00212,0.00236,0.00301,0.00249
Austria,,0.13123,0.13661,0.12397,0.13042,0.15131,0.15069,0.13206,0.13548,0.1281,0.13008,0.14648,0.15399,0.11339,0.11452,0.11531,0.13547,0.13478,0.15213,0.13226,0.13015,0.1463,0.151,0.15332,0.16408,0.1595,0.16118,0.16215,0.15452,0.1474,0.11358,0.13597,0.13966,0.12968
Belgium,,0.40122,0.49326,0.49571,0.39572,0.45782,0.45203,0.40126,0.3792,0.3329,0.38368,0.40449,0.38615,0.30786,0.32175,0.34592,0.36362,0.34241,0.35518,0.35032,0.30308,0.33997,0.31616,0.24979,0.23475,0.22764,0.20551,0.19593,0.1751,0.18121,0.12384,0.13095,0.11944,0.11241
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,0.13158,0.11404,0.01228,0.01382,0.02363,0.07653,0.09706,0.09514,0.12469,0.12098,0.13464,0.13399,0.13824,0.14929,0.16022,0.15681,0.1807,0.18712,0.19375,0.23439,0.22011
Bulgaria,,0.37186,0.37625,0.39767,0.39725,0.40802,0.41599,0.41818,0.42998,0.39104,0.38922,0.35837,0.28551,0.28949,0.25876,0.23283,0.23422,0.25855,0.31313,0.3002,0.26133,0.26337,0.29433,0.26714,0.29943,0.29145,0.28308,0.28846,0.32439,0.31331,0.26172,0.28296,0.33543,0.27918
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,0.01888,0.02036,0.01284,0.00377,0.00935,0.01298,0.0106,0.00696,0.02056,0.01993,0.02432,0.02838,0.02885,0.02775,0.026,0.02819,0.02902,0.02101,0.02814,0.02934,0.03269
Cyprus,,0,0,0,0,0.00099,0.00141,0.00105,0.00287,0.00173,0.00143,0.00205,0.00214,0.00049,0.001,0.00087,0.00056,0.0003,0.00049,0.00067,0.00077,0.00126,0.00167,0.00136,0.00136,0.00147,0.00134,0.00139,0.00126,0.00103,0.00055,0.00067,0.00052,0.00034
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,0.86127,0.79964,0.76901,0.79841,0.61575,0.56857,0.47579,0.57825,0.56522,0.54205,0.53307,0.47846,0.51264,0.54757,0.62824,0.58337,0.52096,0.54467,0.5557,0.52663
Denmark,,0.24766,0.21292,0.24534,0.22112,0.23653,0.31112,0.29893,0.30898,0.28813,0.22942,0.25518,0.34441,0.26986,0.29534,0.3121,0.25746,0.3508,0.27407,0.23616,0.192,0.16613,0.17521,0.17444,0.24026,0.18207,0.15625,0.22731,0.19603,0.16967,0.16798,0.16093,0.13692,0.10362
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,0.17864,0.15474,0.1033,0.10713,0.1225,0.15803,0.13923,0.16632,0.15997,0.15858,0.15617,0.15368,0.1339,0.1736,0.20464,0.17094,0.20059,0.19664,0.14484,0.14512,0.14733,0.16896,0.18145,0.24038,0.21991,0.13191,0.20921,0.19558,0.14108,0.146,0.1901,0.15045,0.1258
Former Czechoslovakia,,1.52402,1.51565,1.53483,1.56581,1.62626,1.59697,1.60211,1.58159,1.55203,1.47592,1.4089,1.24053,1.1565,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,0.35112,0.33684,0.3119,0.25228,0.38908,0.38223,0.40917,0.30008,0.37283,0.37088,0.38785,0.41309,0.42414,0.3914,--,--,--,--,--,--,--
Former Yugoslavia,,0.58895,0.70496,0.73953,0.82533,0.92056,0.97311,0.98817,0.95763,0.97865,0.97215,0.94175,0.88254,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,1.28681,1.15886,1.1757,1.06886,1.01083,0.97676,0.79393,0.70172,0.54397,0.73794,0.76642,0.81069,0.67586,0.57626,0.54515,0.57364,0.61976,0.56049,0.66621,0.59724,0.57822,0.48325,0.52313,0.55806,0.52805,0.54832,0.50758,0.52634,0.49568,0.44389,0.47278,0.40501,0.44694
Germany,,--,--,--,--,--,--,--,--,--,--,--,4.35031,3.9586,3.80692,3.66443,3.59552,3.46262,3.49299,3.39789,3.22302,3.44827,3.51955,3.42249,3.44012,3.4918,3.33445,3.3608,3.54824,3.3332,2.95533,3.15517,3.18431,3.2103
"Germany, East",,2.44026,2.46353,2.48323,2.48535,2.62968,2.76051,2.81802,2.83462,2.80443,2.71672,2.56069,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,2.98956,3.03278,2.99039,3.02765,3.10913,2.90221,2.96886,2.85561,2.83135,2.80288,2.83306,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,0.15001,0.16968,0.17695,0.22205,0.23274,0.26227,0.27315,0.29705,0.33413,0.34423,0.3478,0.34812,0.30471,0.33862,0.33819,0.33273,0.31548,0.35632,0.37189,0.35681,0.37658,0.38782,0.37456,0.37859,0.37452,0.36496,0.33478,0.35029,0.33648,0.33439,0.30442,0.30951,0.32051
Hungary,,0.31946,0.31716,0.32699,0.31216,0.31394,0.31108,0.30479,0.29703,0.27944,0.266,0.22837,0.239,0.20336,0.17581,0.16466,0.15952,0.16761,0.15858,0.15571,0.16314,0.15107,0.15129,0.14972,0.15604,0.14595,0.13679,0.13925,0.13798,0.13691,0.11778,0.1207,0.12314,0.11737
Iceland,,0.00077,0.00127,0.00133,0.00191,0.00266,0.00286,0.00317,0.00256,0.00262,0.00273,0.00264,0.00269,0.00186,0.00179,0.00267,0.00218,0.00254,0.00234,0.00275,0.00239,0.00407,0.00385,0.00401,0.00378,0.00428,0.00414,0.0037,0.00444,0.00389,0.00356,0.00376,0.00378,0.00404
Ireland,,0.02852,0.03477,0.03529,0.04018,0.04017,0.04287,0.06238,0.08736,0.08686,0.09235,0.08691,0.08591,0.08848,0.08338,0.07801,0.07744,0.08034,0.07883,0.08166,0.06867,0.08158,0.08086,0.07528,0.0755,0.0821,0.08562,0.0755,0.07269,0.06509,0.05378,0.05789,0.05919,0.06955
Italy,,0.45444,0.49823,0.53174,0.46981,0.58043,0.63081,0.5664,0.59503,0.56083,0.5574,0.59392,0.559,0.45075,0.42286,0.41502,0.46211,0.41887,0.44313,0.46081,0.46152,0.49515,0.52948,0.54729,0.59714,0.66919,0.66151,0.66802,0.67197,0.65229,0.50464,0.5604,0.63335,0.62526
Kosovo,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.06508,0.07487,0.08052,0.07827,0.07845
Luxembourg,,0.06929,0.05611,0.05151,0.04803,0.05552,0.0542,0.04958,0.03972,0.04222,0.04408,0.04323,0.04053,0.03747,0.04346,0.03559,0.0201,0.01896,0.01269,0.00443,0.00446,0.00504,0.0056,0.00335,0.00256,0.00373,0.00359,0.00431,0.00353,0.00335,0.00303,0.00297,0.00259,0.00239
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,0.06006,0.06338,0.06585,0.06805,0.06718,0.0688,0.08082,0.07193,0.05609,0.05971,0.05378,0.0582,0.05602,0.05678,0.05391,0.05609,0.0607,0.0556,0.05413,0.06333,0.059
Malta,,0.00003,0.00003,0.00063,0.00138,0.00249,0.00561,0.00386,0.00482,0.00648,0.00802,0.00794,0.00643,0.00431,0.00711,0.00498,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01117,0.00949,0.01502,0.00789,0.01508,0.01599,0.01611
Netherlands,,0.15234,0.17603,0.13947,0.20279,0.2533,0.25344,0.25475,0.26581,0.31978,0.32524,0.34774,0.31633,0.29526,0.32725,0.34134,0.35546,0.33859,0.35598,0.33398,0.29511,0.31397,0.33354,0.33383,0.34211,0.34571,0.32875,0.3163,0.34414,0.32604,0.30592,0.30734,0.30332,0.33375
Norway,,0.03865,0.03581,0.0357,0.03611,0.04384,0.04461,0.03948,0.03764,0.03882,0.0386,0.0341,0.03105,0.02657,0.03373,0.03917,0.04062,0.03987,0.04288,0.04463,0.04425,0.04379,0.03934,0.03388,0.03286,0.03863,0.03233,0.02973,0.03354,0.0358,0.02338,0.0318,0.03526,0.03533
Poland,,3.85271,3.4645,3.55109,3.54606,3.71546,3.84792,3.87276,3.99812,3.88196,3.69725,2.95474,2.94834,2.90716,2.99207,2.81099,2.65204,2.95463,2.83667,2.57823,2.69656,2.34204,2.17738,2.1861,2.23277,2.26275,2.19173,2.30096,2.23841,2.20627,2.092,2.23838,2.26813,2.09683
Portugal,,0.01701,0.01462,0.0122,0.01684,0.01645,0.03498,0.0582,0.07784,0.08872,0.10694,0.12232,0.12165,0.11223,0.12255,0.1294,0.14258,0.13515,0.1468,0.12781,0.15618,0.15683,0.13267,0.1448,0.13671,0.1405,0.13945,0.13924,0.12075,0.10584,0.11907,0.06882,0.09414,0.124
Romania,,0.48174,0.53725,0.52553,0.61367,0.60818,0.63631,0.6341,0.66846,0.72488,0.72934,0.4929,0.39902,0.43782,0.39437,0.40619,0.4217,0.43363,0.38122,0.30884,0.27818,0.30565,0.33232,0.34042,0.3587,0.36746,0.36241,0.39398,0.41134,0.38636,0.30564,0.28731,0.33903,0.32121
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.4264,0.42357,0.37447,0.36923,0.3567,0.40175,0.36493
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,0.23752,0.20825,0.21014,0.21178,0.19585,0.18467,0.18056,0.16735,0.17399,0.16652,0.18062,0.17661,0.16795,0.17708,0.16269,0.16081,0.15213,0.15205,0.14593,0.13568
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,0.0665,0.06488,0.05955,0.07041,0.06976,0.07109,0.07071,0.07108,0.06991,0.07218,0.07991,0.07749,0.07688,0.07491,0.07441,0.07367,0.07363,0.0678,0.06679,0.06759,0.06672
Spain,,0.52915,0.70643,0.77151,0.80637,0.80526,0.84095,0.82313,0.80562,0.68,0.85554,0.82835,0.87555,0.82894,0.7867,0.76432,0.70524,0.56347,0.66715,0.62871,0.79913,0.88164,0.81066,0.91402,0.84243,0.90241,0.88892,0.77583,0.86202,0.58911,0.44338,0.32423,0.54875,0.66891
Sweden,,0.06552,0.05572,0.06229,0.07905,0.09568,0.11328,0.11573,0.11298,0.11314,0.10245,0.10168,0.0943,0.07566,0.09559,0.10025,0.09776,0.10314,0.09339,0.08852,0.08689,0.08776,0.09832,0.09944,0.09252,0.10211,0.09181,0.09505,0.09497,0.08203,0.06223,0.08429,0.08576,0.07703
Switzerland,,0.01251,0.01898,0.01705,0.01484,0.02048,0.02039,0.01775,0.01647,0.01416,0.01467,0.01488,0.0124,0.00667,0.00734,0.00681,0.00739,0.00548,0.00444,0.00368,0.00387,0.00563,0.00612,0.00562,0.00579,0.00554,0.00585,0.00516,0.0057,0.0052,0.00495,0.00515,0.00459,0.00445
Turkey,,0.25161,0.24679,0.28373,0.31624,0.35536,0.44598,0.54401,0.51362,0.45657,0.5703,0.62451,0.71405,0.67011,0.63182,0.60746,0.62381,0.71995,0.85905,0.89127,0.81599,0.95135,0.79463,0.80831,0.8629,0.88922,1.0158,1.12068,1.30163,1.24248,1.23968,1.26775,1.34084,1.39292
United Kingdom,,2.98343,2.94081,2.73246,2.77655,2.08594,2.65245,2.77828,2.94384,2.78147,2.87794,2.72373,2.66463,2.34365,2.1806,1.99885,1.7755,1.70684,1.61305,1.55574,1.38065,1.41302,1.58121,1.45526,1.57426,1.52863,1.55335,1.6956,1.58465,1.469,1.21176,1.25,1.24187,1.58532
Eurasia,,11.45935,11.49459,11.89173,11.84896,11.98332,12.06954,12.42751,12.46216,12.65876,11.99361,13.23568,10.16901,9.64786,8.69428,7.35623,7.21087,7.04525,6.07242,5.87797,6.87851,6.93579,6.54919,6.82741,7.07812,6.97628,6.9929,7.34307,7.264,7.60321,6.39883,7.44055,7.64017,8.54487
Armenia,,--,--,--,--,--,--,--,--,--,--,--,--,0.00404,0.00008,0.001,0.00008,0.00014,0.00009,0.00009,0.00006,0,0,0.00033,0.0005,0,0,0.00002,0.00006,0.00004,0,0.00002,0,0
Azerbaijan,,--,--,--,--,--,--,--,--,--,--,--,--,0.00077,0.00017,0.00016,0.00026,0.00026,0.00017,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,--,--,--,--,--,--,--,--,--,--,--,--,0.04364,0.03863,0.03071,0.02745,0.02731,0.02059,0.02131,0.01524,0.01496,0.01323,0.01054,0.00955,0.0082,0.00622,0.0054,0.00413,0.00386,0.00366,0.00378,0.00441,0.00512
Estonia,,--,--,--,--,--,--,--,--,--,--,--,--,0.00497,0.00281,0.00155,0.0013,0.00084,0.00048,0.00185,0.00218,0.00209,0.00277,0.00154,0.00107,0.00141,0.00136,0.0017,0.00313,0.00296,0.00232,0.0014,0.00173,0.00152
Former U.S.S.R.,,11.45935,11.49459,11.89173,11.84896,11.98332,12.06954,12.42751,12.46216,12.65876,11.99361,13.23568,10.16901,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,--,--,--,--,--,--,--,--,--,--,--,--,0.01491,0.00596,0.00764,0.00083,0.00045,0.0003,0.00059,0.00052,0.0005,0.00055,0.00054,0.00115,0.00026,0.00033,0.0003,0.00089,0.0022,0.00418,0.00209,0.00272,0.00484
Kazakhstan,,--,--,--,--,--,--,--,--,--,--,--,--,1.71144,1.55681,0.99789,0.83537,0.82539,0.63022,0.63916,0.85307,0.82153,0.88221,0.90577,0.98375,1.15955,1.1871,1.27247,1.34948,1.44824,1.33383,1.43802,1.57367,1.74233
Kyrgyzstan,,--,--,--,--,--,--,--,--,--,--,--,--,0.04932,0.03426,0.03903,0.02294,0.01803,0.02055,0.02063,0.02115,0.01954,0.01339,0.02183,0.02541,0.0235,0.02091,0.01933,0.01778,0.02412,0.02138,0.02895,0.03011,0.03691
